geo_label,geo_type,n_stores,n_stores_source,population_people,population_k,population_source,population_source_file,population_source_url,population_as_of,population_provenance,rosstat_terson_mo,rosstat_mo_name,urban_people,rural_people,geocode_query,lat,lon,geocode_display_name,geocode_source,weather_station_id,weather_station_name,weather_station_country,weather_station_region,weather_station_distance_m,weather_daily_coverage_days,weather_station_source,weather_source_type,station_selection_rule,reference_status
АКСАЙ,city,31.0,media_mapping_dwh_store_cnt,49004,49.004,"Росстат 2025, муниципальные образования",/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM_v2/01_Raw_Data_v2/rosstat_chisl_mo_01-01-2025.xlsx,https://rosstat.gov.ru/storage/mediabank/Сhisl_MO_01-01-2025.xlsx,2025-01-01,official_rosstat_municipal_2025,606021010011000,г Аксай,49004.0,0.0,"Аксай, Россия",47.268696,39.861362,"Аксай, Аксайское городское поселение, Аксайский район, Ростовская область, Южный федеральный округ, Россия",Nominatim/OpenStreetMap,34731,Rostov-Na-Donu,RU,ROS,3377.2,516.0,Meteostat nearest/coverage search,station_observations,nearest_station_with_min_coverage_days,ok_exact_v2_reference
АЛЕКСАНДРОВ,city,22.0,old_project_population_reference,56000,56.0,Росстат 2024,/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM/01_Raw_Data/population_geo_rosstat_for_MMM.xlsx,,2024-01-01/old_project_reference,old_project_rosstat_reference,,,,,,,,,,,,,,,,old_weather_reference_available,old_weather_features_parquet,old_weather_geo_exact_available,ok_old_project_reference
АЛТАЙСКИЙ КРАЙ,region,279.0,old_project_population_reference,2268000,2268.0,Росстат 2024,/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM/01_Raw_Data/population_geo_rosstat_for_MMM.xlsx,,2024-01-01/old_project_reference,old_project_rosstat_reference,,,,,,,,,,,,,,,,old_weather_reference_available,old_weather_features_parquet,old_weather_geo_exact_available,ok_old_project_reference
АЛЬМЕТЬЕВСК,city,71.0,media_mapping_dwh_store_cnt,164293,164.293,"Росстат 2025, муниципальные образования",/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM_v2/01_Raw_Data_v2/rosstat_chisl_mo_01-01-2025.xlsx,https://rosstat.gov.ru/storage/mediabank/Сhisl_MO_01-01-2025.xlsx,2025-01-01,official_rosstat_municipal_2025,926081010011003,г Альметьевск,164293.0,0.0,"Альметьевск, Россия",54.9005008,52.2963777,"городское поселение Альметьевск, Альметьевский район, Татарстан, Приволжский федеральный округ, Россия",Nominatim/OpenStreetMap,28711,Bugul'Ma,RU,TA,47844.0,513.0,Meteostat nearest/coverage search,station_observations,nearest_station_with_min_coverage_days,ok_exact_v2_reference
АНАПА,city,75.0,media_mapping_dwh_store_cnt,84804,84.804,"Росстат 2025, муниципальные образования",/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM_v2/01_Raw_Data_v2/rosstat_chisl_mo_01-01-2025.xlsx,https://rosstat.gov.ru/storage/mediabank/Сhisl_MO_01-01-2025.xlsx,2025-01-01,official_rosstat_municipal_2025,35010000011000,г Анапа,84804.0,0.0,"Анапа, Россия",44.894272,37.316887,"Анапа, муниципальный округ Анапа, Краснодарский край, Южный федеральный округ, Россия",Nominatim/OpenStreetMap,37001,Anapa,RU,,2913.7,506.0,Meteostat nearest/coverage search,station_observations,nearest_station_with_min_coverage_days,ok_exact_v2_reference
АПАТИТЫ,city,27.0,old_project_population_reference,52000,52.0,Росстат 2024,/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM/01_Raw_Data/population_geo_rosstat_for_MMM.xlsx,,2024-01-01/old_project_reference,old_project_rosstat_reference,,,,,,,,,,,,,,,,old_weather_reference_available,old_weather_features_parquet,old_weather_geo_exact_available,ok_old_project_reference
АРМАВИР,city,42.0,old_project_population_reference,191000,191.0,Росстат 2024,/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM/01_Raw_Data/population_geo_rosstat_for_MMM.xlsx,,2024-01-01/old_project_reference,old_project_rosstat_reference,,,,,,,,,,,,,,,,old_weather_reference_available,old_weather_features_parquet,old_weather_geo_exact_available,ok_old_project_reference
АРСЕНЬЕВ,city,8.0,media_mapping_dwh_store_cnt,46543,46.543,"Росстат 2025, муниципальные образования",/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM_v2/01_Raw_Data_v2/rosstat_chisl_mo_01-01-2025.xlsx,https://rosstat.gov.ru/storage/mediabank/Сhisl_MO_01-01-2025.xlsx,2025-01-01,official_rosstat_municipal_2025,057030000011000,г Арсеньев,46543.0,0.0,"Арсеньев, Россия",44.1644451,133.2704255,"Арсеньев, Арсеньевский городской округ, Приморский край, Дальневосточный федеральный округ, Россия",Nominatim/OpenStreetMap,31981,Anucino,RU,PRI,27357.5,513.0,Meteostat nearest/coverage search,station_observations,nearest_station_with_min_coverage_days,ok_exact_v2_reference
АРТЕМ,city,10.0,media_mapping_dwh_store_cnt,108274,108.274,"Росстат 2025, муниципальные образования",/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM_v2/01_Raw_Data_v2/rosstat_chisl_mo_01-01-2025.xlsx,https://rosstat.gov.ru/storage/mediabank/Сhisl_MO_01-01-2025.xlsx,2025-01-01,official_rosstat_municipal_2025,057050000011002,г Артем,108274.0,0.0,"Артем, Россия",43.3529909,132.1800977,"Артём, Артёмовский городской округ, Приморский край, Дальневосточный федеральный округ, 692700, Россия",Nominatim/OpenStreetMap,31960,Vladivostok,RU,PRI,33016.3,516.0,Meteostat nearest/coverage search,station_observations,nearest_station_with_min_coverage_days,ok_exact_v2_reference
АРХАНГЕЛЬСК,city,76.0,old_project_population_reference,327000,327.0,Росстат 2024,/Users/aleksan.korenkov/Work/01_ML_projects/03_ML_MMM/00_Data/00_Data_final_for_MMM/01_Raw_Data/population_geo_rosstat_for_MMM.xlsx,,2024-01-01/old_project_reference,old_project_rosstat_reference,,,,,,,,,,,,,,,,old_weather_reference_available,old_weather_features_parquet,old_weather_geo_exact_available,ok_old_project_reference
