geo_id,geo_display_name,geo_normalized_name,geo_type,latitude,longitude,region_id,region_display_name,federal_district_id,federal_district_display_name,country_code,coordinates_source,coordinates_source_record_id,coordinates_source_version_or_date,coordinates_source_snapshot_sha256,coordinates_review_status,catalog_version
geo_f0896a12c6bd4ebd,Аксай,АКСАЙ,city,47.26331,39.869,region_geonames_501165,Ростовская область,fd_southern,Южный федеральный округ,RU,GeoNames RU dump (WGS84),583673,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_957e66011fc7614c,Александров,АЛЕКСАНДРОВ,city,56.39733,38.71404,region_geonames_826294,Владимирская область,fd_central,Центральный федеральный округ,RU,GeoNames RU dump (WGS84),583350,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_ef9368375b7cd433,Алтайский край,АЛТАЙСКИЙ КРАЙ,region,52.60833,82.60833,region_geonames_1511732,Алтайский край,fd_siberian,Сибирский федеральный округ,RU,GeoNames RU dump (WGS84),1511732,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_cf2e9cf981259b4e,Альметьевск,АЛЬМЕТЬЕВСК,city,54.90395,52.31793,region_geonames_484048,Республика Татарстан,fd_volga,Приволжский федеральный округ,RU,GeoNames RU dump (WGS84),582432,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_74240820071487d1,Анапа,АНАПА,city,44.89497,37.31623,region_geonames_542415,Краснодарский край,fd_southern,Южный федеральный округ,RU,GeoNames RU dump (WGS84),582182,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_1a1dd82046f50b13,Апатиты,АПАТИТЫ,city,67.58267,33.41339,region_geonames_524304,Мурманская область,fd_northwestern,Северо-Западный федеральный округ,RU,GeoNames RU dump (WGS84),581357,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_ad76eb61a0c4abf1,Армавир,АРМАВИР,city,44.99849,41.11472,region_geonames_542415,Краснодарский край,fd_southern,Южный федеральный округ,RU,GeoNames RU dump (WGS84),580922,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_daf6c4eb196f4842,Арсеньев,АРСЕНЬЕВ,city,44.15695,133.27331,region_geonames_2017623,Приморский край,fd_far_eastern,Дальневосточный федеральный округ,RU,GeoNames RU dump (WGS84),2027468,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_d36bbe7743558685,Артем,АРТЕМ,city,43.35757,132.19137,region_geonames_2017623,Приморский край,fd_far_eastern,Дальневосточный федеральный округ,RU,GeoNames RU dump (WGS84),2027456,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
geo_91572a7fdf0c3bc8,Архангельск,АРХАНГЕЛЬСК,city,64.5461,40.55183,region_geonames_581043,Архангельская область,fd_northwestern,Северо-Западный федеральный округ,RU,GeoNames RU dump (WGS84),581049,2026-07-18,e900a407f811b53a1bf51612fe6f1a809af275e43a02b85f63c7bfddd75e4035,reviewed_static,geo_catalog_v1_2026_07_18
